City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Baiquan,CN,2020-04-06 00:21:13,47.58,126.08,37.78,66,87,16.8
241,Goure,NE,2020-04-06 00:21:13,13.98,10.27,82.15,12,84,4.27
242,Gayeri,BF,2020-04-06 00:21:14,12.65,0.49,86.25,12,0,4.27
243,Katobu,ID,2020-04-06 00:21:14,-4.94,122.53,81.37,83,84,0.74
244,Sitamau,IN,2020-04-06 00:21:14,24.02,75.35,76.93,16,3,4.29
245,Taywarah,AF,2020-04-06 00:21:14,33.35,64.42,34.07,41,85,3.76
246,Constitucion,CL,2020-04-06 00:21:14,-35.33,-72.42,56.32,69,0,14.65
247,Polunochnoye,RU,2020-04-06 00:21:14,60.87,60.42,23.52,93,18,7.34
248,Bethanien,NA,2020-04-06 00:21:14,-26.5,17.16,63.88,34,1,3.15
249,Pleshanovo,RU,2020-04-06 00:21:14,52.83,53.48,31.82,89,55,5.53
250,Alugan,PH,2020-04-06 00:21:15,12.22,125.48,81.21,64,59,8.66
251,Hays,US,2020-04-06 00:21:15,30.05,-98.03,68.0,82,90,5.82
252,Olavarria,AR,2020-04-06 00:21:16,-36.89,-60.32,62.6,71,63,6.24
253,Touros,BR,2020-04-06 00:21:16,-5.2,-35.46,80.6,94,40,4.7
254,Port Lincoln,AU,2020-04-06 00:21:16,-34.73,135.87,63.55,71,71,5.23
255,Los Llanos De Aridane,ES,2020-04-06 00:21:16,28.66,-17.92,68.0,77,22,2.24
256,Tasiilaq,GL,2020-04-06 00:18:34,65.61,-37.64,15.8,47,100,4.7
257,Ozinki,RU,2020-04-06 00:21:17,51.18,49.68,36.46,78,99,2.91
258,Alice Springs,AU,2020-04-06 00:21:17,-23.7,133.88,68.0,37,75,10.29
259,Bulgan,MN,2020-04-06 00:21:17,48.81,103.53,26.69,53,85,3.11
260,Henties Bay,NA,2020-04-06 00:21:17,-22.12,14.28,61.0,89,92,1.99
261,Cockburn Town,TC,2020-04-06 00:16:54,21.46,-71.14,75.92,64,0,11.86
262,Solnechnyy,RU,2020-04-06 00:21:18,50.72,136.63,34.38,71,0,7.9
263,Riviere-Au-Renard,CA,2020-04-06 00:21:18,49.0,-64.4,42.8,48,75,8.05
264,Sorland,NO,2020-04-06 00:21:18,67.67,12.69,32.86,85,100,20.29
265,Suntar,RU,2020-04-06 00:21:18,62.14,117.63,31.48,93,63,9.24
266,Yerbogachen,RU,2020-04-06 00:21:18,61.28,108.01,26.74,94,65,8.57
267,Tahta,EG,2020-04-06 00:21:18,26.77,31.5,73.4,31,1,3.36
268,Tilichiki,RU,2020-04-06 00:21:19,60.47,166.1,15.73,93,71,3.29
269,Kieta,PG,2020-04-06 00:21:19,-6.22,155.63,84.49,66,27,1.88
270,Nizip,TR,2020-04-06 00:20:46,37.01,37.79,55.0,87,61,6.93
271,Trairi,BR,2020-04-06 00:21:19,-3.28,-39.27,80.13,84,75,6.91
272,Puerto Carreno,CO,2020-04-06 00:21:19,6.19,-67.49,82.4,69,40,2.24
273,Olafsvik,IS,2020-04-06 00:21:19,64.89,-23.71,34.38,92,100,47.22
274,Bonthe,SL,2020-04-06 00:21:19,7.53,-12.51,82.02,85,1,5.99
275,Laguna,US,2020-04-06 00:21:19,38.42,-121.42,55.0,71,90,5.82
276,Lingao,CN,2020-04-06 00:21:20,19.91,109.69,73.94,88,84,15.03
277,Praia Da Vitoria,PT,2020-04-06 00:21:20,38.73,-27.07,55.4,87,75,12.82
278,Airai,TL,2020-04-06 00:21:20,-8.93,125.41,68.5,58,17,2.28
279,Clyde River,CA,2020-04-06 00:21:12,70.47,-68.59,8.6,60,40,19.46
280,Winslow,US,2020-04-06 00:21:20,35.02,-110.7,69.8,15,1,19.46
281,Katherine,AU,2020-04-06 00:21:20,-14.47,132.27,86.0,62,95,9.17
282,Svetlaya,RU,2020-04-06 00:21:21,46.54,138.33,37.09,88,100,15.79
283,Ascension,US,2020-04-06 00:19:35,30.22,-90.9,78.8,47,1,3.36
284,Yulara,AU,2020-04-06 00:21:21,-25.24,130.99,69.8,30,94,12.75
285,Jvari,GE,2020-04-06 00:21:21,42.72,42.05,50.81,58,100,2.84
286,Carnarvon,AU,2020-04-06 00:19:10,-24.87,113.63,75.2,83,16,12.75
287,Qaanaaq,GL,2020-04-06 00:21:21,77.48,-69.36,8.65,77,100,2.08
288,Upington,ZA,2020-04-06 00:21:21,-28.45,21.26,64.4,42,45,3.36
289,Skala Fourkas,GR,2020-04-06 00:21:21,40.0,23.38,48.2,93,75,5.82
290,Berlevag,NO,2020-04-06 00:20:58,70.86,29.09,28.4,68,75,11.41
291,Necochea,AR,2020-04-06 00:21:21,-38.55,-58.74,62.01,97,34,5.01
292,Mayo,US,2020-04-06 00:21:22,38.89,-76.51,66.0,62,75,6.93
293,Rio Verde De Mato Grosso,BR,2020-04-06 00:21:22,-18.92,-54.84,78.3,66,28,3.98
294,Carballo,ES,2020-04-06 00:21:22,43.21,-8.69,52.0,81,35,4.7
295,Wilmington,US,2020-04-06 00:17:47,34.23,-77.94,64.4,48,1,5.82
296,Finnsnes,NO,2020-04-06 00:21:22,69.23,17.98,27.0,84,70,17.22
297,Agnibilekrou,CI,2020-04-06 00:21:23,7.13,-3.2,76.14,85,94,4.0
298,Kaduqli,SD,2020-04-06 00:21:23,11.02,29.72,81.63,11,99,5.08
299,Furmanov,RU,2020-04-06 00:21:23,57.25,41.11,28.4,74,56,8.95
300,Calvinia,ZA,2020-04-06 00:21:23,-31.47,19.78,49.42,64,59,6.02
301,Fonte Boa,BR,2020-04-06 00:21:23,-2.5,-66.27,78.01,85,91,1.86
302,Belaya Gora,RU,2020-04-06 00:21:19,68.53,146.42,17.64,96,100,8.08
303,Mariestad,SE,2020-04-06 00:21:23,58.71,13.82,41.0,74,75,5.82
304,Erenhot,CN,2020-04-06 00:21:23,43.65,111.98,45.19,32,75,10.18
305,Barranca,PE,2020-04-06 00:21:23,-10.75,-77.77,74.44,71,24,7.54
